company_label,irrelevant_sentences,relevant_sentences,rel/total percentages
EliLilly,84,15,15.15
UnitedHealthGroup,1012,0,0.0
Merck,2384,10,0.42
BristolMyersSquibb,1172,4,0.34
Danaher,931,1,0.11
johnsonandjohnson,1918,12,0.62
Pfizer,52,0,0.0
Abbott,2031,7,0.34
ThermoFisherScientifiic,874,4,0.46
Amgen,1098,4,0.36
Caterpillar,657,20,2.95
Lockheed,1000,5,0.5
Boeing,1134,7,0.61
UPS,76,10,11.63
Raytheon,1217,9,0.73
Delta,657,44,6.28
Deere,885,6,0.67
Honeywell,717,8,1.1
3M,3202,5,0.16
UnionPacific,279,15,5.1
Total,1274,71,5.28
BP,1151,48,4.0
Shell,1124,11,0.97
Mondelez_Intl,1434,19,1.31
Hershey,1300,10,0.76
Philip_Morris_Intl,3745,8,0.21
PepsiCo,218,7,3.11
Altria_Environmental,25,0,0.0
PandG,787,11,1.38
Altria_TCFD,333,0,0.0
Costco,125,0,0.0
CocaCola,1204,8,0.66
Altria_2021,381,1,0.26
Walmart,560,3,0.53
EsteeLauder,1687,13,0.76
McDonalds,358,4,1.1
TJX,1445,20,1.37
HomeDepot,1416,14,0.98
Lowes,768,3,0.39
Target,1515,7,0.46
BookingHoldings,751,13,1.7
Tesla,1364,3,0.22
Amazon,1585,28,1.74
Nike,1866,10,0.53
Starbucks,929,4,0.43
Accenture,553,14,2.47
Broadcom,523,10,1.88
Mastercard,1153,22,1.87
Nvidia,946,4,0.42
Oracle,710,3,0.42
Cisco,1454,15,1.02
Microsoft,1808,60,3.21
VIsa,592,11,1.82
Adobe,199,3,1.49
Apple,1939,29,1.47
AmericanTowerCorp,1135,12,1.05
Prologis,793,24,2.94
CrownCastle,120,2,1.64
Linde,2083,24,1.14
Ecolab,1352,9,0.66
SherwinWilliams,948,2,0.21
IntrntlFlavorsandFragrances,1800,1,0.06
FreeportMcmoran,765,8,1.03
Nucor,539,4,0.74
AirProducts,807,5,0.62
Corteva,737,0,0.0
NewmontMining,565,11,1.91
Dow,2815,7,0.25
Dominion_Energy,660,2,0.3
Duke_Energy,971,25,2.51
AEP,1544,21,1.34
NextEraEnergyZeroCarbonBlueprint,194,17,8.06
